Hash Implementation,LoadFactor,Iteration,Avg Contains (hit), Avg Contains (miss), Avg Remove, Avg Add
Linear Probing,0.1,0,2.40833,47.36042,0.2825,3.74792,10009.0
Linear Probing,0.1,1,0.06375,6.89583,0.56167,0.0425,10009.0
Linear Probing,0.1,2,0.05334,6.84292,0.06208,0.04417,10009.0
Linear Probing,0.1,3,0.05,6.83709,0.0475,0.03458,10009.0
Linear Probing,0.1,4,0.04834,6.84166,0.05875,0.03875,10009.0
Linear Probing,0.3,0,1.47,45.62333,0.35458,0.05625,10009.0
Linear Probing,0.3,1,0.05292,6.95709,0.05208,0.0425,10009.0
Linear Probing,0.3,2,0.04541,6.84791,0.23291,0.03791,10009.0
Linear Probing,0.3,3,0.04375,6.84834,0.05166,0.03667,10009.0
Linear Probing,0.3,4,0.04458,6.83791,0.18917,0.03625,10009.0
Linear Probing,0.5,0,1.15958,6.84042,0.46875,0.05458,10009.0
Linear Probing,0.5,1,0.05542,6.8375,0.06041,0.04666,10009.0
Linear Probing,0.5,2,0.04792,6.83833,0.05709,0.04,10009.0
Linear Probing,0.5,3,0.04625,6.8375,0.05541,0.04,10009.0
Linear Probing,0.5,4,0.05292,6.85708,0.05667,0.04042,10009.0
Linear Probing,0.7,0,0.36292,6.83917,2.72042,9.40583,10009.0
Linear Probing,0.7,1,0.05,6.83792,0.05917,0.05083,10009.0
Linear Probing,0.7,2,0.06084,6.86708,0.17583,0.04541,10009.0
Linear Probing,0.7,3,0.05958,7.00917,0.06667,0.04625,10009.0
Linear Probing,0.7,4,0.05042,6.83666,0.13625,0.04417,10009.0
Linear Probing,0.9,0,0.15667,6.90958,0.6425,0.55,10009.0
Linear Probing,0.9,1,0.05459,6.83584,0.06417,0.0575,10009.0
Linear Probing,0.9,2,0.05583,6.84,0.065,0.04916,10009.0
Linear Probing,0.9,3,0.05709,6.845,0.07083,0.05166,10009.0
Linear Probing,0.9,4,0.05625,6.83542,0.06416,0.04833,10009.0
Quadratic Probing,0.1,0,1.97959,0.14542,1.12,1.87542,10009.0
Quadratic Probing,0.1,1,2.63875,0.11041,0.05917,0.04333,10009.0
Quadratic Probing,0.1,2,0.15333,0.09208,0.12333,0.03833,10009.0
Quadratic Probing,0.1,3,0.05708,0.055,0.05125,0.05042,10009.0
Quadratic Probing,0.1,4,0.04375,0.03959,0.05208,0.03792,10009.0
Quadratic Probing,0.3,0,0.34709,0.14334,0.1725,0.04666,10009.0
Quadratic Probing,0.3,1,1.05666,0.05542,0.04791,0.03834,10009.0
Quadratic Probing,0.3,2,0.05125,0.0625,0.06041,0.04708,10009.0
Quadratic Probing,0.3,3,0.04167,0.0425,0.04542,0.03709,10009.0
Quadratic Probing,0.3,4,0.05625,0.04542,0.05,0.03792,10009.0
Quadratic Probing,0.5,0,2.07084,0.06667,0.22791,0.05083,10009.0
Quadratic Probing,0.5,1,0.05958,0.06042,0.0525,0.045,10009.0
Quadratic Probing,0.5,2,0.05875,0.06,0.05333,0.045,10009.0
Quadratic Probing,0.5,3,0.08375,0.0575,0.0525,0.04458,10009.0
Quadratic Probing,0.5,4,0.05666,0.07209,0.06334,0.04416,10009.0
Quadratic Probing,0.7,0,0.53333,0.07667,1.27917,4.89834,10009.0
Quadratic Probing,0.7,1,0.05958,0.06542,0.07041,0.05209,10009.0
Quadratic Probing,0.7,2,0.05792,0.06417,0.06,0.05209,10009.0
Quadratic Probing,0.7,3,0.05458,0.06208,0.06375,0.04958,10009.0
Quadratic Probing,0.7,4,0.06208,0.06416,0.05959,0.0525,10009.0
Quadratic Probing,0.9,0,0.07584,0.10542,0.53541,0.05625,10009.0
Quadratic Probing,0.9,1,0.06,0.0775,0.06125,0.055,10009.0
Quadratic Probing,0.9,2,0.09416,0.07708,0.07042,0.05375,10009.0
Quadratic Probing,0.9,3,0.05792,0.075,0.06209,0.05459,10009.0
Quadratic Probing,0.9,4,0.06417,0.07541,0.06208,0.05458,10009.0
LinkedList,0.1,0,1.80125,0.105,2.02417,13.88542,10009.0
LinkedList,0.1,1,0.06709,0.02375,1.03,0.07542,10009.0
LinkedList,0.1,2,0.07416,0.02459,2.8875,1.15375,10009.0
LinkedList,0.1,3,0.03208,0.0175,0.07916,0.05167,10009.0
LinkedList,0.1,4,0.01917,0.01875,0.0775,0.05667,10009.0
LinkedList,0.3,0,3.97,0.1275,0.64583,0.46792,10009.0
LinkedList,0.3,1,3.82167,0.03333,5.30417,0.08625,10009.0
LinkedList,0.3,2,3.48,0.225,0.43625,1.32125,10009.0
LinkedList,0.3,3,0.02208,0.02042,0.08417,0.07209,10009.0
LinkedList,0.3,4,0.0225,0.02084,0.08458,0.08083,10009.0
LinkedList,0.5,0,2.03375,0.12125,0.58583,0.10375,10009.0
LinkedList,0.5,1,0.06042,0.04084,0.12542,0.07833,10009.0
LinkedList,0.5,2,4.64959,0.04583,0.13208,0.14041,10009.0
LinkedList,0.5,3,0.03666,0.02209,0.1,0.0825,10009.0
LinkedList,0.5,4,0.03125,0.02333,0.09583,0.07417,10009.0
LinkedList,0.7,0,0.08375,0.04167,1.91416,0.10583,10009.0
LinkedList,0.7,1,0.05875,0.03917,0.13917,0.06541,10009.0
LinkedList,0.7,2,0.04917,0.03042,0.09958,0.07416,10009.0
LinkedList,0.7,3,0.03375,0.04083,0.07875,0.07625,10009.0
LinkedList,0.7,4,0.07667,0.03834,0.10625,0.06875,10009.0
LinkedList,0.9,0,0.33375,0.15958,13.63333,0.34958,10009.0
LinkedList,0.9,1,0.05959,0.05667,7.45333,0.38959,10009.0
LinkedList,0.9,2,0.03583,0.0425,0.17875,0.08709,10009.0
LinkedList,0.9,3,0.035,0.03208,0.08958,0.07583,10009.0
LinkedList,0.9,4,0.04583,0.05083,0.09292,0.08084,10009.0
Cuckoo,0.1,0,2.01083,0.02458,2.20334,0.06541,13037.0
Cuckoo,0.1,1,0.08,0.01875,0.05167,0.03542,13037.0
Cuckoo,0.1,2,0.01583,0.01375,0.05541,0.035,13037.0
Cuckoo,0.1,3,0.01375,0.01375,0.04458,0.035,13037.0
Cuckoo,0.1,4,0.015,0.01417,0.05791,0.035,13037.0
Cuckoo,0.3,0,0.02375,0.01833,0.17208,0.06833,19079.0
Cuckoo,0.3,1,3.46666,0.0175,0.06333,0.03834,19079.0
Cuckoo,0.3,2,0.01417,0.01584,0.04292,0.03375,19079.0
Cuckoo,0.3,3,0.01375,0.01459,0.04709,0.03458,19079.0
Cuckoo,0.3,4,0.01375,0.01375,0.05667,0.03458,19079.0
Cuckoo,0.5,0,0.55959,0.05417,0.23167,0.06583,24103.0
Cuckoo,0.5,1,0.05542,0.01375,0.78458,0.03583,24103.0
Cuckoo,0.5,2,0.01666,0.01416,0.05416,0.035,24103.0
Cuckoo,0.5,3,0.01375,0.03667,0.05583,0.04125,24103.0
Cuckoo,0.5,4,0.01333,0.01333,0.04458,0.035,24103.0
Cuckoo,0.7,0,0.02041,0.01833,2.78042,0.03916,29153.0
Cuckoo,0.7,1,0.32958,0.01584,0.08958,0.04083,29153.0
Cuckoo,0.7,2,0.01542,0.01333,0.04708,0.03625,29153.0
Cuckoo,0.7,3,0.01333,0.01333,0.04334,0.03667,29153.0
Cuckoo,0.7,4,1.34584,0.01792,2.55541,0.04792,29153.0
Cuckoo,0.9,0,0.01666,0.01917,0.04833,0.03458,29153.0
Cuckoo,0.9,1,0.01542,0.01458,0.04458,0.035,29153.0
Cuckoo,0.9,2,0.01792,0.01709,0.05333,0.0425,29153.0
Cuckoo,0.9,3,0.01292,0.01333,0.0425,0.03458,29153.0
Cuckoo,0.9,4,0.02542,0.01875,0.05042,0.03708,29153.0
